but some 1
some units 1
units are 1
are labeled 1
labeled with 1
the names 1
names of 1
of volume 1
importers labelers 1
labelers such 1
such as 1
as io 1
io hawk 1
hawk phunkeyduck 1
monorover etc 1
etc just 1
just made 1
made an 1
an order 1
order today 1
today it 1
it will 1
will arrive 1
arrive the 1
the end 1
end of 1
of the 1
the month 1
month will 1
will respond 1
respond back 1
back to 1
this review 1
review in 1
september 2015 1
2015 after 1
after good 1
good week 1
week or 1
or of 1
of playing 1
playing with 1
with it 1
it very 1
very sketchy 1
sketchy but 1
but ehh 1
ehh someone 1
someone on 1
on amazon 1
amazon as 1
as to 1
to tell 1
tell people 1
people if 1
if its 1
its worth 1
worth the 1
the money 1
money 370 1
370 thats 1
thats the 1
the cheapest 1
cheapest could 1
could find 1
find anywhere 1
anywhere hopefully 1
hopefully it 1
it doesn 1
doesn break 1
break within 1
within the 1
the year 1
year it 1
it ll 1
ll be 1
be such 1
such bummer 1
bummer if 1
if it 1
does ill 1
ill be 1
be back 1
back on 1
on this 1
sothea aug 1
aug 2015 1
2015 update 1
update august 1
14 2015 1
2015 so 1
so made 1
order on 1
on july 1
july 31 1
and was 1
was expected 1
expected to 1
to arrive 1
arrive around 1
around aug 1
aug 27 1
27 sept 1
sept 15 1
15 guess 1
guess what 1
what it 1
came in 1
in yesterday 1
yesterday aug 1
aug 13th 1
13th so 1
so after 1
after mins 1
mins on 1
on my 1
segway it 1
it was 1
was kinda 1
kinda hard 1
hard balancing 1
balancing and 1
and constantly 1
constantly spinning 1
spinning in 1
in circles 1
circles and 1
and few 1
few scratches 1
scratches already 1
already made 1
made my 1
my way 1
way to 1
to walmart 1
walmart and 1
and got 1
got ton 1
ton of 1
of cabinet 1
cabinet bumpers 1
bumpers like 1
like don 1
don know 1
know 36 1
36 bumpers 1
bumpers for 1
for like 1
like 10 1
10 bucks 1
bucks and 1
and stuck 1
stuck them 1
them everywhere 1
everywhere where 1
where the 1
the scratches 1
scratches were 1
were made 1
made if 1
can see 1
see in 1
in my 1
my photo 1
photo thats 1
thats attached 1
attached learning 1
learning time 1
say 20mins 1
20mins and 1
your good 1
good to 1
go and 1
and off 1
off in 1
the streets 1
streets and 1
at the 1
the tennis 1
tennis court 1
court and 1
and running 1
the beach 1
beach sidewalk 1
sidewalk super 1
super worth 1
worth it 1
it ill 1
back if 1
if any 1
any altercation 1
altercation happen 1
happen such 1
as break 1
break downs 1
downs broken 1
broken faulty 1
faulty acting 1
acting weird 1
weird so 1
far so 1
so good 1
good got 1
got my 1
my wheel 1
wheel about 1
about month 1
month after 1
after ordered 1
ordered it 1
it and 1
and it 1
it broke 1
broke within 1
hour of 1
of receiving 1
receiving it 1
it right 1
right when 1
when opened 1
opened the 1
the box 1
box noticed 1
noticed that 1
that the 1
wheel had 1
had some 1
some friction 1
friction between 1
between the 1
wheel wall 1
wall and 1
the inside 1
inside of 1
the case 1
case only 1
only used 1
used the 1
device indoors 1
indoors because 1
because it 1
it happened 1
happened to 1
be raining 1
raining the 1
the day 1
day received 1
received it 1
after little 1
bit of 1
of use 1
use the 1
the machine 1
machine literally 1
died on 1
on me 1
me in 1
the middle 1
middle of 1
of me 1
me using 1
using and 1
was thrown 1
thrown on 1
on to 1
floor after 1
after this 1
this happened 1
happened it 1
it wouldn 1
wouldn turn 1
turn back 1
on until 1
until plugged 1
plugged it 1
it into 1
into the 1
the charger 1
charger but 1
but the 1
the second 1
in it 1
it went 1
went back 1
to full 1
full charge 1
charge used 1
the smart 1
smart wheel 1
wheel for 1
for about 1
about another 1
another hour 1
hour after 1
after that 1
that before 1
center joint 1
joint started 1
started to 1
to sag 1
sag towards 1
towards the 1
the ground 1
ground when 1
when noticed 1
noticed this 1
this was 1
was happening 1
happening looked 1
looked closer 1
closer at 1
device and 1
and noticed 1
the four 1
four most 1
most central 1
central screws 1
screws on 1
on the 1
the bottom 1
bottom were 1
were not 1
not even 1
even there 1
there to 1
to begin 1
begin with 1
with now 1
now the 1
wheel can 1
can only 1
only go 1
go forwards 1
forwards and 1
and backwards 1
backwards while 1
while the 1
the toy 1
toy literally 1
literally drags 1
drags scrapes 1
scrapes across 1
across the 1
ground the 1
the turning 1
turning function 1
function is 1
is completely 1
completely gone 1
gone have 1
have been 1
been in 1
in contact 1
contact with 1
the seller 1
seller since 1
since the 1
day got 1
got the 1
wheel and 1
and they 1
they are 1
are not 1
not being 1
being very 1
very helpful 1
helpful in 1
the returning 1
returning process 1
process after 1
after about 1
weeks worth 1
of emails 1
emails they 1
are still 1
still asking 1
asking me 1
me if 1
if can 1
can put 1
put the 1
device back 1
back together 1
together myself 1
myself don 1
don understand 1
understand why 1
why that 1
that would 1
would even 1
even be 1
be my 1
my obligation 1
obligation because 1
because the 1
the screws 1
screws were 1
were missing 1
when the 1
box arrived 1
arrived never 1
never the 1
the less 1
less have 1
have tried 1
tried to 1
to fix 1
fix it 1
it but 1
to align 1
align the 1
the plastic 1
plastic casing 1
the inner 1
inner metal 1
metal requires 1
requires machine 1
machine it 1
it has 1
has now 1
now been 1
two weeks 1
since was 1
was first 1
first in 1
finally trying 1
trying to 1
to accept 1
accept my 1
return package 1
package this 1
this is 1
great besides 1
besides the 1
the fact 1
fact that 1
going to 1
to have 1
to wait 1
month for 1
wheel to 1
be returned 1
returned and 1
then another 1
another month 1
month to 1
for them 1
ship me 1
me new 1
new one 1
one all 1
blast for 1
the couple 1
couple hours 1
hours got 1
got to 1
ride on 1
but other 1
other then 1
then that 1
say this 1
this has 1
has been 1
been by 1
by far 1
far the 1
the worst 1
worst experience 1
ve had 1
had dealing 1
dealing with 1
with merchant 1
merchant on 1
amazon photo 1
photo of 1
attached item 1
item pretty 1
pretty much 1
much failed 1
failed immediately 1
immediately the 1
first problem 1
problem one 1
one footboard 1
footboard would 1
would shake 1
violently when 1
when put 1
put my 1
foot on 1
it making 1
it too 1
too unstable 1
unstable to 1
to place 1
place my 1
my other 1
it had 1
had to 1
to hold 1
still against 1
wall curb 1
curb etc 1
etc before 1
before putting 1
putting the 1
first foot 1
second and 1
and much 1
much worse 1
worse problem 1
problem while 1
while riding 1
riding one 1
one of 1
the footboards 1
footboards collapsed 1
collapsed the 1
the board 1
board was 1
was then 1
then shaped 1
shaped and 1
and entirely 1
entirely unrideable 1
unrideable ve 1
ve attached 1
photos to 1
review third 1
third minor 1
minor problem 1
problem was 1
was that 1
that one 1
the lights 1
was pushed 1
pushed into 1
the item 1
item itself 1
itself more 1
more cosmetic 1
cosmetic problem 1
problem but 1
but still 1
not supposed 1
supposed to 1
be there 1
there obviously 1
obviously neither 1
neither of 1
of these 1
these are 1
are normal 1
normal problems 1
problems so 1
so giving 1
giving the 1
seller the 1
the benefit 1
the doubt 1
doubt and 1
and will 1
will try 1
try one 1
one again 1
again bought 1
bought this 1
this through 1
through amazon 1
amazon prime 1
prime so 1
so this 1
this unit 1
will be 1
be on 1
on its 1
its way 1
be exchanged 1
exchanged or 1
or refunded 1
refunded whether 1
whether get 1
get replacement 1
replacement or 1
or purchase 1
purchase another 1
another after 1
after refunding 1
refunding ll 1
ll update 1
update this 1
about whether 1
whether the 1
the same 1
same problems 1
problems happen 1
happen or 1
or if 1
one is 1
is okay 1
okay would 1
would rather 1
rather not 1
not go 1
go through 1
through the 1
the hassle 1
hassle of 1
of trying 1
trying different 1
board but 1
but we 1
we ll 1
ll see 1
